insee_code,name,postal_code,lat,lon,population
09001,Aigues-Juntes,09240,43.050200,1.471000,59
30003,Aigues-Mortes,30220,43.548200,4.160600,8699
09002,Aigues-Vives,09600,42.999600,1.878100,625
11001,Aigues-Vives,11800,43.234000,2.535900,532
30004,Aigues-Vives,30670,43.734300,4.193000,3331
34007,Aigues-Vives,34210,43.350300,2.823100,476
43002,Aiguilhe,43000,45.052800,3.885100,1498
05003,Aiguilles,05470,44.782600,6.876800,369
47004,Aiguillon,47190,44.298900,0.362000,3968
83002,Aiguines,83630,43.736500,6.319700,274
36001,Aigurande,36140,46.457200,1.848900,1321
30005,Aiguèze,30760,44.312400,4.518400,212
07002,Ailhon,07200,44.599200,4.336400,553
45002,Aillant-sur-Milleron,45230,47.795800,2.934600,373
33002,Aillas,33124,44.484800,-0.067300,786
42002,Ailleux,42130,45.798100,3.936300,175
70005,Aillevans,70110,47.590100,6.417800,131
10002,Ailleville,10200,48.256200,4.691100,223
70006,Aillevillers-et-Lyaumont,70320,47.934300,6.329600,1426
52003,Aillianville,52700,48.334300,5.479800,148
72002,Aillières-Beauvoir,72600,48.400500,0.321000,200
73004,Aillon-le-Jeune,73340,45.603200,6.086300,430
73005,Aillon-le-Vieux,73340,45.652900,6.079700,221
70007,Ailloncourt,70300,47.758000,6.394900,305
27005,Ailly,27600,49.156100,1.244600,1234
80009,Ailly-le-Haut-Clocher,80690,50.078400,1.996500,1024
80010,Ailly-sur-Noye,80250,49.749300,2.352400,2648
80011,Ailly-sur-Somme,80470,49.915900,2.185100,3003
30006,Aimargues,30470,43.666700,4.201000,5705
73006,Aime-la-Plagne,73210,45.566100,6.611900,4385
03003,Ainay-le-Château,03360,46.718200,2.715700,989
18002,Ainay-le-Vieil,18200,46.657300,2.541300,189
64011,Aincille,64220,43.135200,-1.196500,117
95008,Aincourt,95510,49.073300,1.773000,854
55004,Aincreville,55110,49.368700,5.114700,80
54007,Aingeray,54460,48.737100,6.019200,532
88003,Aingeville,88140,48.206000,5.765900,60
52004,Aingoulaincourt,52230,48.456500,5.278000,11
64012,Ainharp,64130,43.255100,-0.939900,131
64013,Ainhice-Mongelos,64220,43.213600,-1.157900,168
64014,Ainhoa,64250,43.296800,-1.482800,672
70008,Ainvelle,70800,47.848000,6.243800,149
88004,Ainvelle,88320,47.986600,5.826800,140
80013,Airaines,80270,49.970700,1.951100,2204
08004,Aire,08190,49.469500,4.162400,251
40001,Aire-sur-l'Adour,40800,43.693200,-0.256100,6211
62014,Aire-sur-la-Lys,62120,50.645700,2.396200,9598
50004,Airel,50680,49.215400,-1.078700,515
60008,Airion,60600,49.418100,2.421800,409
62015,Airon-Notre-Dame,62180,50.441600,1.671100,261
62016,Airon-Saint-Vaast,62180,50.426200,1.668700,185
11002,Airoux,11320,43.366700,1.873900,201
79005,Airvault,79600,46.832300,-0.153200,3306
21005,Aiserey,21110,47.171500,5.166500,1500
70009,Aisey-et-Richecourt,70500,47.885700,5.956600,100
21006,Aisey-sur-Seine,21400,47.742800,4.577400,160
02006,Aisonville-et-Bernoville,02110,49.931300,3.512100,259
21007,Aisy-sous-Thil,21390,47.392000,4.279500,200
89004,Aisy-sur-Armançon,89390,47.655100,4.213400,232
2B003,Aiti,20244,42.402600,9.228400,27
73007,Aiton,73220,45.575800,6.254300,1874
19002,Aix,19200,45.616000,2.393000,352
62019,Aix-Noulette,62160,50.423100,2.712500,3902
10003,Aix-Villemaur-Pâlis,10160,48.226600,3.721800,3236
62017,Aix-en-Ergny,62650,50.583600,2.001100,194
62018,Aix-en-Issart,62170,50.482200,1.863500,264
13001,Aix-en-Provence,13080,43.536000,5.387900,149695
59004,Aix-en-Pévèle,59310,50.497700,3.306000,1338
63002,Aix-la-Fayette,63980,45.508200,3.529500,97
73008,Aix-les-Bains,73100,45.694300,5.903500,32406
87001,Aixe-sur-Vienne,87700,45.799000,1.124500,5890
07003,Aizac,07530,44.719000,4.333500,169
52005,Aizanville,52120,48.111300,4.895400,23
36002,Aize,36150,47.104800,1.706100,114
80014,Aizecourt-le-Bas,80240,49.986700,3.028300,69
80015,Aizecourt-le-Haut,80200,49.968200,2.983600,66
02007,Aizelles,02820,49.486500,3.821100,118
85003,Aizenay,85190,46.736600,-1.627100,10365
27006,Aizier,27500,49.432000,0.627900,158
02008,Aizy-Jouy,02370,49.437200,3.512800,306
11003,Ajac,11300,43.044800,2.137300,196
2A004,Ajaccio,20000,41.922800,8.705800,76320
23002,Ajain,23380,46.210400,2.000200,1019
24004,Ajat,24210,45.160300,1.028900,307
57009,Ajoncourt,57590,48.844600,6.301200,102
07004,Ajoux,07000,44.754100,4.487200,81
11004,Alaigne,11240,43.094900,2.088700,327
02009,Alaincourt,02240,49.768100,3.369200,517
70010,Alaincourt,70210,47.945200,6.103200,97
57010,Alaincourt-la-Côte,57590,48.897300,6.343300,176
11005,Alairac,11290,43.184800,2.238700,1395
31005,Alan,31420,43.217500,0.930100,292
2B005,Alando,20212,42.308300,9.289900,30
2A006,Alata,20167,41.970200,8.729400,3681
07005,Alba-la-Romaine,07400,44.559300,4.595800,1533
81003,Alban,81250,43.885500,2.453200,964
48002,Albaret-Sainte-Marie,48200,44.880400,3.253600,559
48001,Albaret-le-Comtal,48310,44.864100,3.144600,131
11006,Albas,11360,43.004600,2.732800,87
46001,Albas,46140,44.463600,1.242500,529
82001,Albefeuille-Lagarde,82290,44.049100,1.271800,582
15025,Albepierre-Bredons,15300,45.077700,2.826800,242
80016,Albert,80300,50.003500,2.651500,9521
2B007,Albertacce,20224,42.314500,8.927700,196
73011,Albertville,73200,45.664700,6.410000,19978
57011,Albestroff,57670,48.930000,6.872300,606
81004,Albi,81000,43.929000,2.132300,51290
31006,Albiac,31460,43.554700,1.786400,231
46002,Albiac,46500,44.770000,1.813500,95
82002,Albias,82350,44.084500,1.450800,3240
73013,Albiez-Montrond,73300,45.189500,6.342800,350
73012,Albiez-le-Jeune,73300,45.239900,6.358600,139
19003,Albignac,19190,45.147100,1.679500,236
69003,Albigny-sur-Saône,69250,45.866600,4.828400,3057
81005,Albine,81240,43.447800,2.529900,512
2A008,Albitreccia,20128,41.855200,8.874400,1833
11007,Albières,11330,42.945200,2.447000,117
09004,Albiès,09310,42.753900,1.696500,123
26002,Albon,26140,45.239400,4.865400,1942
07006,Albon-d'Ardèche,07190,44.816800,4.418300,159
07007,Alboussière,07440,44.939500,4.744900,1048
19004,Albussac,19380,45.138800,1.813200,725
74002,Alby-sur-Chéran,74540,45.814500,6.019700,2664
67003,Albé,67220,48.363500,7.340900,473
64016,Aldudes,64430,43.092400,-1.433100,332
62020,Alembon,62850,50.780500,1.871900,624
61001,Alençon,61000,48.431000,0.092300,25490
11008,Alet-les-Bains,11580,42.991400,2.261800,379
62021,Alette,62650,50.525800,1.850600,365
09005,Aleu,09320,42.892700,1.268300,137
74003,Alex,74290,45.875700,6.233400,1139
53002,Alexain,53240,48.232700,-0.739900,610
26003,Aleyrac,26770,44.499100,4.945900,50
94002,Alfortville,94140,48.796300,2.421400,45531
2B010,Algajola,20220,42.605100,8.858700,363
81006,Algans,81470,43.603300,1.891500,223
68001,Algolsheim,68600,48.004300,7.551300,1112
57012,Algrange,57440,49.365300,6.049300,5802
34009,Alignan-du-Vent,34290,43.467800,3.338900,1796
08005,Alincourt,08310,49.400900,4.345000,160
62022,Alincthun,62142,50.725500,1.811900,291
21008,Alise-Sainte-Reine,21150,47.536600,4.487800,564
07008,Alissas,07210,44.708900,4.613900,1519
69004,Alix,69380,45.916200,4.653400,777
26004,Alixan,26300,44.984300,5.016700,2729
27008,Alizay,27460,49.324000,1.177700,1567
39007,Alièze,39270,46.588000,5.585100,149
54008,Allain,54170,48.548900,5.920200,490
80017,Allaines,80200,49.964000,2.936400,419
28003,Allainville,28500,48.721100,1.290700,159
78009,Allainville,78660,48.467300,1.903800,281
56001,Allaire,56350,47.631200,-2.181600,3955
54009,Allamont,54800,49.126600,5.781500,156
54010,Allamps,54112,48.550100,5.811100,505
26005,Allan,26780,44.496800,4.803600,1980
15001,Allanche,15160,45.228500,2.961000,773
08006,Alland'Huy-et-Sausseuil,08130,49.511700,4.546700,272
88005,Allarmont,88110,48.469700,7.017600,214
17005,Allas-Bocage,17150,45.385200,-0.501900,194
17006,Allas-Champagne,17500,45.472900,-0.338600,283
24006,Allas-les-Mines,24220,44.827600,1.074800,203
19005,Allassac,19240,45.257300,1.460900,4081
13002,Allauch,13190,43.352200,5.510300,21443
13003,Alleins,13980,43.709800,5.155800,2852
04004,Allemagne-en-Provence,04500,43.792100,6.025700,544
51004,Allemanche-Launay-et-Soyer,51260,48.608000,3.793200,121
24007,Allemans,24600,45.288600,0.295100,544
47005,Allemans-du-Dropt,47800,44.623700,0.285900,490
02010,Allemant,02320,49.463900,3.459100,163
51005,Allemant,51120,48.763300,3.822100,166
38005,Allemond,38114,45.177700,6.018400,971
80018,Allenay,80130,50.085900,1.491900,253
48003,Allenc,48190,44.550000,3.677800,265
25011,Allenjoie,25490,47.535100,6.895100,719
59005,Allennes-les-Marais,59251,50.540600,2.946000,3545
21009,Allerey,21230,47.190000,4.425600,174
71003,Allerey-sur-Saône,71350,46.914500,4.970900,804
80019,Allery,80270,49.958300,1.888700,843
24005,Alles-sur-Dordogne,24480,44.861800,0.872400,380
15002,Alleuze,15100,44.954800,3.103700,224
38006,Allevard,38580,45.377600,6.118900,3971
26006,Allex,26400,44.771800,4.915700,2698
43004,Alleyrac,43150,44.895300,3.989800,117
43005,Alleyras,43580,44.911400,3.682900,152
19006,Alleyrat,19200,45.565100,2.219700,98
23003,Alleyrat,23200,45.986200,2.152900,144
47006,Allez-et-Cazeneuve,47110,44.377400,0.629100,609
51006,Alliancelles,51250,48.801600,4.874400,148
09006,Alliat,09400,42.818100,1.577800,57
10004,Allibaudières,10700,48.584900,4.124600,208
52006,Allichamps,52130,48.564000,4.889200,348
65005,Allier,65360,43.180200,0.125600,446
58002,Alligny-Cosne,58200,47.446300,3.072600,926
58003,Alligny-en-Morvan,58230,47.210200,4.167400,594
22001,Allineuc,22460,48.314700,-2.869300,589
74005,Allinges,74200,46.336200,6.461300,5019
09007,Allières,09240,43.039100,1.363100,76
18004,Allogny,18110,47.237800,2.311100,1142
79136,Alloinay,79110,46.148600,-0.035000,914
25013,Allondans,25550,47.523800,6.750800,234
73014,Allondaz,73200,45.710300,6.371300,298
54011,Allondrelle-la-Malmaison,54260,49.511100,5.570500,635
60009,Allonne,60000,49.395200,2.115700,1767
79007,Allonne,79130,46.574900,-0.378300,608
28004,Allonnes,28150,48.331000,1.650200,321
49002,Allonnes,49650,47.306900,0.008100,2911
72003,Allonnes,72700,47.958800,0.144700,10739
04005,Allons,04170,43.976900,6.592900,126
47007,Allons,47420,44.200700,-0.072200,163
80020,Allonville,80260,49.940500,2.361000,778
74006,Allonzier-la-Caille,74350,45.999700,6.100900,2253
04006,Allos,04260,44.269000,6.630400,812
62023,Allouagne,62157,50.535000,2.504700,2823
16007,Alloue,16490,46.024800,0.529700,491
18005,Allouis,18500,47.179200,2.237900,1036
76001,Allouville-Bellefosse,76190,49.595600,0.663600,1153
58004,Alluy,58110,47.036000,3.641700,365
28005,Alluyes,28800,48.225100,1.366600,756
15003,Ally,15700,45.161700,2.334100,594
43006,Ally,43380,45.150000,3.318400,123
43003,Allègre,43270,45.186100,3.687700,922
30008,Allègre-les-Fumades,30500,44.201600,4.253600,1002
74004,Allèves,74540,45.753900,6.082000,397
71004,Allériot,71380,46.802100,4.953200,1165
81008,Almayrac,81190,44.101900,2.154600,293
61002,Almenêches,61570,48.697500,0.124200,638
12004,Almont-les-Junies,12300,44.600700,2.317200,437
09008,Alos,09200,42.901300,1.131800,116
81007,Alos,81140,44.020200,1.875900,93
64017,Alos-Sibas-Abense,64470,43.114900,-0.877200,291
21010,Aloxe-Corton,21420,47.068000,4.862800,125
62024,Alquines,62850,50.734300,1.996400,973
12006,Alrance,12430,44.139600,2.675600,335
57013,Alsting,57515,49.179600,7.000200,2480
2A011,Altagène,20112,41.709700,9.073700,52
67005,Alteckendorf,67270,48.793600,7.595100,857
68002,Altenach,68210,47.600500,7.107700,372
67006,Altenheim,67490,48.722500,7.463700,229
84001,Althen-des-Paluds,84210,44.005500,4.958500,2960
2B012,Altiani,20251,42.219800,9.276600,53
48004,Altier,48800,44.457000,3.855900,213
19007,Altillac,19120,44.977400,1.868300,824
68004,Altkirch,68130,47.620600,7.244500,5687
67008,Altorf,67120,48.524300,7.540400,1447
57014,Altrippe,57660,49.027400,6.816700,365
57015,Altviller,57730,49.070600,6.730900,524
67009,Altwiller,67260,48.917300,6.976600,373
71005,Aluze,71510,46.852200,4.686600,255
46003,Alvignac,46500,44.838300,1.692700,699
76002,Alvimare,76640,49.606600,0.630600,584
09009,Alzen,09240,42.980500,1.453900,262
2B013,Alzi,20212,42.313300,9.317500,27
57016,Alzing,57320,49.274500,6.553100,405
30009,Alzon,30770,43.974000,3.446600,194
11009,Alzonne,11170,43.264600,2.166500,1586
64015,Alçay-Alçabéhéty-Sunharette,64470,43.083400,-0.965400,206
30007,Alès,30100,44.125000,4.090500,46125
66002,Alénya,66200,42.641300,2.982400,3782
2B009,Aléria,20270,42.099300,9.497200,2267
70011,Amage,70280,47.844300,6.501900,304
08008,Amagne,08300,49.513300,4.504000,814
25014,Amagney,25220,47.304100,6.147100,934
79008,Amailloux,79350,46.746700,-0.319100,822
10005,Amance,10140,48.293900,4.482200,245
54012,Amance,54770,48.757300,6.308000,365
70012,Amance,70160,47.790200,6.050200,669
25015,Amancey,25330,47.034000,6.071900,744
74007,Amancy,74800,46.072200,6.326900,2792
39008,Amange,39700,47.169100,5.565900,428
35002,Amanlis,35150,48.001700,-1.495100,1768
55005,Amanty,55130,48.516000,5.601600,36
57017,Amanvillers,57865,49.161500,6.042900,2188
71006,Amanzé,71800,46.326100,4.236400,196
81009,Amarens,81170,44.042300,1.924400,61
25016,Amathay-Vésigneux,25330,47.023700,6.197100,175
14006,Amayé-sur-Orne,14210,49.091400,-0.435800,1079
14007,Amayé-sur-Seulles,14310,49.082400,-0.716200,215
58005,Amazy,58190,47.384000,3.569700,208
88006,Ambacourt,88500,48.351500,6.139400,300
33003,Ambarès-et-Lagrave,33440,44.951700,-0.500000,17644
31007,Ambax,31230,43.369200,0.938700,57
87002,Ambazac,87240,45.960900,1.395600,5556
38008,Ambel,38970,44.799700,5.934800,35
27009,Ambenay,27250,48.840000,0.738300,544
16009,Ambernac,16490,45.978000,0.551600,381
86002,Amberre,86110,46.758800,0.156400,565
63003,Ambert,63600,45.551600,3.755600,6517
12007,Ambeyrac,12260,44.491900,1.935600,184
81010,Ambialet,81430,43.926700,2.383700,471
2A014,Ambiegna,20151,42.089900,8.768100,79
42003,Ambierle,42820,46.106800,3.895300,1865
37002,Ambillou,37340,47.454000,0.451300,1746
74008,Ambilly,74100,46.195700,6.223900,6355
70013,Ambiévillers,70210,47.991100,6.137900,80
60010,Amblainville,60110,49.206200,2.124900,1805
70014,Amblans-et-Velotte,70200,47.681700,6.419800,386
02011,Ambleny,02290,49.374100,3.168100,1205
62025,Ambleteuse,62164,50.812900,1.619800,2033
95011,Ambleville,95420,49.151000,1.695900,388
41001,Ambloy,41310,47.709400,0.970400,187
08010,Ambly-Fleury,08130,49.490100,4.490400,132
55007,Ambly-sur-Meuse,55300,49.022000,5.452100,245
01006,Ambléon,01300,45.748300,5.592800,115
37003,Amboise,37400,47.396700,0.998900,12937
56002,Ambon,56190,47.559900,-2.536500,2101
26007,Ambonil,26800,44.791600,4.909700,106
51007,Ambonnay,51150,49.092600,4.177800,941
52007,Ambonville,52110,48.315300,5.013900,82
36003,Ambrault,36120,46.786000,1.949600,884
81011,Ambres,81500,43.728700,1.831300,1033
62026,Ambricourt,62310,50.466800,2.172800,118
02012,Ambrief,02200,49.322600,3.405800,79
62027,Ambrines,62127,50.308200,2.466000,211
51008,Ambrières,51290,48.628500,4.827600,210
53003,Ambrières-les-Vallées,53300,48.424200,-0.626800,2619
01007,Ambronay,01500,46.009900,5.362700,2841
19008,Ambrugeat,19250,45.533600,2.087800,213
76004,Ambrumesnil,76550,49.859100,0.983000,520
47008,Ambrus,47160,44.231900,0.245500,110
01008,Ambutrix,01500,45.934700,5.335900,760
33004,Ambès,33810,45.012300,-0.548600,3313
16008,Ambérac,16140,45.858100,0.062600,315
01004,Ambérieu-en-Bugey,01500,45.957500,5.370600,15934
69005,Ambérieux,69480,45.926400,4.742700,651
01005,Ambérieux-en-Dombes,01330,45.999200,4.911900,1906
55008,Amel-sur-l'Étang,55230,49.256900,5.645000,153
57018,Amelécourt,57170,48.839200,6.488800,118
64018,Amendeuix-Oneix,64120,43.343900,-1.044500,472
54013,Amenoncourt,54450,48.630800,6.786500,87
95012,Amenucourt,95510,49.108400,1.646900,212
62028,Ames,62190,50.534500,2.414900,676
62029,Amettes,62260,50.528000,2.396100,469
71007,Ameugny,71460,46.522800,4.669000,169
88007,Ameuvelle,88410,47.951000,5.949800,46
14009,Amfreville,14860,49.250800,-0.240500,1394
27011,Amfreville-Saint-Amand,27370,49.218800,0.925300,1207
76005,Amfreville-la-Mi-Voie,76920,49.405300,1.127500,3265
27012,Amfreville-les-Champs,27380,49.313100,1.322300,449
76006,Amfreville-les-Champs,76560,49.698000,0.826900,188
27013,Amfreville-sous-les-Monts,27380,49.303100,1.262900,532
27014,Amfreville-sur-Iton,27400,49.154900,1.144600,887
80021,Amiens,80000,49.898700,2.284700,136449
02013,Amifontaine,02190,49.497700,3.921800,391
50006,Amigny,50620,49.156500,-1.185600,151
02014,Amigny-Rouy,02700,49.611100,3.305900,707
77002,Amillis,77120,48.732700,3.140000,830
28006,Amilly,28300,48.442400,1.407300,1855
45004,Amilly,45200,47.991100,2.781300,13582
