insee_code,name,postal_code,lat,lon
28087,Châtaincourt,28270,48.690600,1.237000
35069,Châteaugiron,35410,48.048100,-1.475100
85062,Châteauneuf,85710,46.920500,-1.923700
63100,Châteauneuf-les-Bains,63390,46.023100,2.880900
05036,Châteauroux-les-Alpes,05380,44.642400,6.483400
52114,Châteauvillain,52120,48.026300,4.941000
74063,Châtel,74390,46.247900,6.818800
23056,Châtelus-le-Marcheix,23430,46.009500,1.626400
79080,Châtillon-sur-Thouet,79200,46.680100,-0.255000
08115,Chémery-Chéhéry,08350,49.614500,4.869900
37077,Cinq-Mars-la-Pile,37130,47.348300,0.454200
06041,Cipières,06620,43.766500,6.922900
77118,Claye-Souilly,77410,48.941000,2.680000
52140,Colombey les Deux Églises,52330,48.241800,4.924000
34081,Colombiers,34440,43.317500,3.141500
28104,Coltainville,28300,48.494100,1.592800
40085,Commensacq,40210,44.208200,-0.827200
87047,Compreignac,87140,46.000100,1.282800
27165,Conches-en-Ouche,27190,48.953400,0.927800
62234,Conchy-sur-Canche,62270,50.295100,2.189800
15054,Condat,15190,45.349300,2.796400
63119,Condat-lès-Montboissier,63490,45.557300,3.479700
87048,Condat-sur-Vienne,87920,45.784600,1.233900
32107,Condom,32100,43.965300,0.378200
30096,Cornillon,30630,44.218900,4.493100
18073,Corquoy,18190,46.900000,2.318900
51176,Corroy,51230,48.700300,3.955200
22048,Corseul,22130,48.484600,-2.167500
41062,Couddes,41700,47.363800,1.404500
10108,Courtaoult,10130,48.024000,3.869100
60171,Courtieux,60350,49.386200,3.083700
41248,Couëtron-au-Perche,41170,48.057300,0.894000
36060,Crevant,36140,46.471900,1.941400
70189,Cromary,70190,47.364100,6.064400
29042,Crozon,29160,48.239600,-4.467900
74096,Cruseilles,74350,46.042500,6.111100
60178,Crèvecœur-le-Grand,60360,49.610300,2.086100
11112,Cubières-sur-Cinoble,11190,42.864000,2.471200
70192,Cugney,70700,47.367000,5.721000
02250,Cuiry-lès-Chaudardes,02160,49.391900,3.762100
85077,Curzon,85540,46.449400,-1.305100
33146,Cussac-Fort-Médoc,33460,45.120700,-0.726000
40081,Cère,40090,43.993300,-0.546800
46068,Cénevières,46330,44.445400,1.737400
50109,Cérences,50510,48.907500,-1.438900
78193,Dampierre-en-Yvelines,78720,48.706500,1.978900
88129,Derbamont,88270,48.265500,6.273500
69135,Deux-Grosnes,69430,46.237900,4.563100
71174,Dezize-lès-Maranges,71150,46.923000,4.661300
